symbol_id,display_label,priority_tier,type,category_xls,ui_tab,meaning_room_anchors,current_pos,phrase_pos,collision_flags
good,Good,1,word,Descriptors,core;describe,colors_descriptors,descriptor/adjective,,
that,That,1,word,Descriptors,describe,colors_descriptors,word,,
bad,Bad,1,word,Feelings,feelings,feelings,descriptor/adjective,,
frustrated,Frustrated,1,word,Feelings,feelings,feelings,descriptor/adjective,,
happy,Happy,1,word,Feelings,feelings,feelings,descriptor/adjective,,
mad,Mad,1,word,Feelings,feelings,feelings,descriptor/adjective,,
nervous,Nervous,1,word,Feelings,feelings,feelings,descriptor/adjective,,
sad,Sad,1,word,Feelings,feelings,feelings,descriptor/adjective,,
sick,Sick,1,word,Feelings,feelings,feelings,descriptor/adjective,,
tired,Tired,1,word,Feelings,feelings,feelings,descriptor/adjective,,
food,Food,1,word,Food/Drink,food,food_drink,noun,,
water,Water,1,word,Food/Drink,food,food_drink,noun,,
drink,Drink,1,word,Actions,food;actions,actions;food_drink,verb/action,,
eat,Eat,1,word,Actions,food;actions,actions;food_drink,verb/action,,
arent,aren't,1,word,Negation/Repair,more,stop_refusal,negation/repair,,tab-anchor-mismatch(stop_refusal→expects:core)
cant,can't,1,word,Negation/Repair,more,stop_refusal,negation/repair,,tab-anchor-mismatch(stop_refusal→expects:core)
couldnt,couldn't,1,word,Negation/Repair,more,stop_refusal,negation/repair,,tab-anchor-mismatch(stop_refusal→expects:core)
havent,haven't,1,word,Negation/Repair,more,stop_refusal,negation/repair,,tab-anchor-mismatch(stop_refusal→expects:core)
not,not,1,word,Negation/Repair,more,stop_refusal,negation/repair,,tab-anchor-mismatch(stop_refusal→expects:core)
wont,won't,1,word,Negation/Repair,more,stop_refusal,negation/repair,,tab-anchor-mismatch(stop_refusal→expects:core)
he,He,1,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
he_she,He/She,1,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
i,I,1,word,People/Pronouns/Possessives,people,self,pronoun/person,,
me,Me,1,word,People/Pronouns/Possessives,people,self,pronoun/person,,
mine,Mine,1,word,People/Pronouns/Possessives,people,self,pronoun/person,,
my,My,1,word,People/Pronouns/Possessives,people,self,pronoun/person,,
she,She,1,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
you,You,1,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
bathroom,Bathroom,1,word,Places,things,outside,noun,,
school,School,1,word,Places,things,outside,noun,,
do,Do,2,word,Actions,actions,actions,verb/action,,
hug,Hug,2,word,Actions,actions,actions;toys,verb/action,,
i_found_something,I found something,2,phrase,Places,actions,actions,phrase,verb/action,
i_like_this,I like this,2,phrase,Actions,actions,actions,phrase,verb/action,
i_need_help_stop,I need help / stop,2,phrase,Actions,actions,calm_corner,phrase,verb/action,tab-anchor-mismatch(calm_corner→expects:core)
jump,Jump,2,word,Actions,actions,actions;toys,verb/action,,
like,Like,2,word,Actions,actions,actions,verb/action,,
look_at_me,Look at me,2,phrase,Actions,actions,actions,phrase,verb/action,
make,Make,2,word,Actions,actions,actions,verb/action,,
my_turn,My turn,2,phrase,Actions,actions,actions,phrase,noun,
push,Push,2,word,Actions,actions,actions;toys,verb/action,,
put,Put,2,word,Actions,actions,actions,verb/action,,
read,Read,2,word,Actions,actions,actions;toys,verb/action,,
run,Run,2,word,Actions,actions,actions;toys,verb/action,,
see,See,2,word,Actions,actions,actions,verb/action,,
sleep,Sleep,2,word,Actions,actions,actions;calm_corner,verb/action,,tab-anchor-mismatch(calm_corner→expects:core)
spin,Spin,2,word,Actions,actions,toys,verb/action,,
squeeze,squeeze,2,word,Actions,actions,toys,verb/action,,
take,Take,2,word,Actions,actions,actions,verb/action,,
tickle,Tickle,2,word,Actions,actions,actions;toys,verb/action,,
ticklesqueeze,Tickle/squeeze,2,phrase,Actions,actions,toys,phrase,verb/action,
walk,Walk,2,word,Actions,actions,actions;outside,verb/action,,
want_help,Want help,2,phrase,Actions,actions,actions,phrase,verb/action,
want_help_want_item,Want help / want item,2,phrase,Actions,actions,actions,phrase,verb/action,
want_item,want item,2,phrase,Actions,actions,actions,phrase,verb/action,
work,Work,2,word,Actions,actions,actions,verb/action,,
help_me_im_frustrated,Help me / I'm frustrated,2,phrase,Actions,core,calm_corner,phrase,verb/action,
hi_hello,Hi / Hello,2,phrase,Social,core,other_people,phrase,word,
i_dont_want_that,I don't want that,2,phrase,Actions,core,stop_refusal,phrase,verb/action,
i_meant_something_else,I meant something else,2,phrase,Negation/Repair,core,stop_refusal,phrase,negation/repair,
i_need_help,I need help,2,phrase,Actions,core,calm_corner,phrase,verb/action,
no_i_dont_want_that,No / I don't want that,2,phrase,Negation/Repair,core,stop_refusal,phrase,negation/repair,
okfine,OK/Fine,2,phrase,Social,core,actions,phrase,word,
one_more_minute,One more minute,2,phrase,Regulation/Safety,core,time,phrase,noun,
too_loud_i_need_a_break,Too loud / I need a break,2,phrase,Regulation/Safety,core,calm_corner,phrase,descriptor/adjective,
try_again,Try again,2,phrase,Negation/Repair,core,stop_refusal,phrase,negation/repair,
thats_funny,That's funny,2,phrase,Social,core;actions,actions,phrase,descriptor/adjective,
big,Big,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
black,Black,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
blue,Blue,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
down,Down,2,word,Descriptors,describe,colors_descriptors,location/preposition,,
fast,Fast,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
green,Green,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
in,In,2,word,Descriptors,describe,colors_descriptors,location/preposition,,
little,Little,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
off,Off,2,word,Descriptors,describe,colors_descriptors,location/preposition,,
orange,Orange,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
out,Out,2,word,Descriptors,describe,colors_descriptors,location/preposition,,
pink,Pink,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
purple,Purple,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
red,Red,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
slow,Slow,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
up,Up,2,word,Descriptors,describe,colors_descriptors,location/preposition,,
white,White,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
yellow,Yellow,2,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
bored,Bored,2,word,Feelings,feelings,feelings,descriptor/adjective,,
calm,Calm,2,word,Feelings,feelings,feelings,descriptor/adjective,,
confused,Confused,2,word,Feelings,feelings,feelings,descriptor/adjective,,
excited,Excited,2,word,Feelings,feelings,feelings,descriptor/adjective,,
fine,Fine,2,word,Feelings,feelings,feelings,descriptor/adjective,,
i_am_tired,I am tired,2,phrase,Feelings,feelings,feelings,phrase,descriptor/adjective,
im_frustrated,I'm frustrated,2,phrase,Feelings,feelings,feelings,phrase,descriptor/adjective,
scared,Scared,2,word,Feelings,feelings,feelings,descriptor/adjective,,
surprised,Surprised,2,word,Feelings,feelings,feelings,descriptor/adjective,,
worried,Worried,2,word,Feelings,feelings,feelings,descriptor/adjective,,
candy,Candy,2,word,Food/Drink,food,food_drink,noun,,
carrot,Carrot,2,word,Food/Drink,food,food_drink,noun,,
chips,Chips,2,word,Food/Drink,food,food_drink,noun,,
cookie,Cookie,2,word,Food/Drink,food,food_drink,noun,,
fruit,Fruit,2,word,Food/Drink,food,food_drink,noun,,
i_want_apple,I want apple,2,phrase,Actions,food,food_drink,phrase,verb/action,
i_want_food,I want food,2,phrase,Actions,food,food_drink,phrase,verb/action,
juice,juice,2,word,Food/Drink,food,food_drink,noun,,
popcorn,Popcorn,2,word,Food/Drink,food,food_drink,noun,,
pretzel,Pretzel,2,word,Food/Drink,food,food_drink,noun,,
rice,Rice,2,word,Food/Drink,food,food_drink,noun,,
waterjuice,Water/juice,2,word,Food/Drink,food,food_drink,noun,,
dad,Dad,2,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
mom,Mom,2,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
their,Their,2,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
them,Them,2,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
your,Your,2,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
airplane,Airplane,2,word,Vehicles,things,toys,noun,,
balloon,Balloon,2,word,Preferred Items,things,toys,noun,,
boat,Boat,2,word,Vehicles,things,toys,noun,,
books,Books,2,word,Social,things,toys,noun,,
bubbles,Bubbles,2,word,Preferred Items,things,toys,noun,,
bus,Bus,2,word,Vehicles,things,toys,noun,,
car,Car,2,word,Vehicles,things,toys,noun,,
classroom,Classroom,2,word,Places,things,outside,noun,,
coat,Coat,2,word,Clothing,things,clothing,noun,,
dog,Dog,2,word,Preferred Items,things,toys,noun,,
doll,Doll,2,word,Preferred Items,things,toys,noun,,
ear,Ear,2,word,Body Parts,things,self,noun,,
eye,Eye,2,word,Body Parts,things,self,noun,,
game,Game,2,word,Preferred Items,things,toys,noun,,
gym,Gym,2,word,Places,things,outside,noun,,
hand,Hand,2,word,Body Parts,things,self,noun,,
hat,Hat,2,word,Clothing,things,clothing,noun,,
home,Home,2,word,Places,things,outside,noun,,
i_want_a_jacket,I want a jacket,2,phrase,Actions,things,clothing,phrase,verb/action,
ipad,iPad,2,word,Preferred Items,things,toys,noun,,
jacket,Jacket,2,word,Clothing,things,clothing,noun,,
leg,Leg,2,word,Body Parts,things,self,noun,,
mouth,Mouth,2,word,Body Parts,things,self,noun,,
music,Music,2,word,Preferred Items,things,toys,noun,,
nose,Nose,2,word,Body Parts,things,self,noun,,
pants,Pants,2,word,Clothing,things,clothing,noun,,
play_doh,Play doh,2,word,Preferred Items,things,toys,noun,,
playground,Playground,2,word,Places,things,outside,noun,,
puzzle,Puzzle,2,word,Preferred Items,things,toys,noun,,
sand,Sand,2,word,Preferred Items,things,toys,noun,,
shirt,Shirt,2,word,Clothing,things,clothing,noun,,
shoe,Shoe,2,word,Clothing,things,clothing,noun,,
sock,Sock,2,word,Clothing,things,clothing,noun,,
stomach,stomach,2,word,Body Parts,things,self,noun,,
toy,Toy,2,word,Preferred Items,things,toys,noun,,
toygame,Toy/Game,2,word,Preferred Items,things,toys,noun,,
train,Train,2,word,Vehicles,things,toys,noun,,
trampoline,Trampoline,2,word,Preferred Items,things,toys,noun,,
tummy,Tummy,2,word,Body Parts,things,self,noun,,
tummystomach,Tummy/stomach,2,word,Body Parts,things,self,noun,,
slide,Slide,2,word,Actions,things;actions,toys,verb/action,,
swing,Swing,2,word,Actions,things;actions,toys,verb/action,,
bite,bite,3,word,Actions,actions,,verb/action,,
buy,buy,3,word,Actions,actions,,verb/action,,
call,call,3,word,Actions,actions,,verb/action,,
came,came,3,word,Actions,actions,,verb/action,,
catch,catch,3,word,Actions,actions,,verb/action,,
cause,cause,3,word,Actions,actions,,verb/action,,
come,come,3,word,Actions,actions,,verb/action,,
comes,comes,3,word,Actions,actions,,verb/action,,
cut,cut,3,word,Actions,actions,,verb/action,,
does,does,3,word,Actions,actions,,verb/action,,
doing,doing,3,word,Actions,actions,,verb/action,,
eating,eating,3,word,Actions,actions,,verb/action,,
fall,fall,3,word,Actions,actions,,verb/action,,
find,find,3,word,Actions,actions,,verb/action,,
fixed,fixed,3,word,Actions,actions,,verb/action,,
fly,fly,3,word,Actions,actions,outside,verb/action,,
found,found,3,word,Actions,actions,,verb/action,,
get,get,3,word,Actions,actions,,verb/action,,
gets,gets,3,word,Actions,actions,,verb/action,,
getting,getting,3,word,Actions,actions,,verb/action,,
give,give,3,word,Actions,actions,,verb/action,,
goes,goes,3,word,Actions,actions,,verb/action,,
going,going,3,word,Actions,actions,,verb/action,,
hear,hear,3,word,Actions,actions,,verb/action,,
hold,hold,3,word,Actions,actions,,verb/action,,
jumped,jumped,3,word,Actions,actions,,verb/action,,
jumping,jumping,3,word,Actions,actions,,verb/action,,
let,let,3,word,Actions,actions,,verb/action,,
lets,let's,3,word,Actions,actions,,verb/action,,
lift,lift,3,word,Actions,actions,,verb/action,,
look,look,3,word,Actions,actions,,verb/action,,
looking,looking,3,word,Actions,actions,,verb/action,,
move,move,3,word,Actions,actions,,verb/action,,
pick,pick,3,word,Actions,actions,,verb/action,,
remember,remember,3,word,Actions,actions,,verb/action,,
ride,ride,3,word,Actions,actions,,verb/action,,
said,said,3,word,Actions,actions,,verb/action,,
saw,saw,3,word,Actions,actions,,verb/action,,
say,say,3,word,Actions,actions,,verb/action,,
show,show,3,word,Actions,actions,,verb/action,,
shut,shut,3,word,Actions,actions,,verb/action,,
sit,sit,3,word,Actions,actions,,verb/action,,
threw,threw,3,word,Actions,actions,,verb/action,,
try,try,3,word,Actions,actions,,verb/action,,
trying,trying,3,word,Actions,actions,,verb/action,,
use,use,3,word,Actions,actions,,verb/action,,
used,used,3,word,Actions,actions,,verb/action,,
wait,wait,3,word,Actions,actions,,verb/action,,
wanted,wanted,3,word,Actions,actions,,verb/action,,
watch,watch,3,word,Actions,actions,,verb/action,,
went,went,3,word,Actions,actions,,verb/action,,
bye,bye,3,word,Social,core,,word,,
please,please,3,word,Social,core,,word,,
high,high,3,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
hot,hot,3,word,Descriptors,describe,,descriptor/adjective,,
inside,inside,3,word,Descriptors,describe,colors_descriptors,location/preposition,,
three,three,3,word,Descriptors,describe,colors_descriptors,descriptor/adjective,,
together,together,3,word,Descriptors,describe,,descriptor/adjective,,
top,top,3,word,Descriptors,describe,colors_descriptors,location/preposition,,
great,great,3,word,Feelings,feelings,feelings,descriptor/adjective,,
kind,kind,3,word,Descriptors,feelings,,descriptor/adjective,,
mean,mean,3,word,Feelings,feelings,feelings,descriptor/adjective,,
nice,nice,3,word,Descriptors,feelings,,descriptor/adjective,,
corn,corn,3,word,Food/Drink,food,food_drink,noun,,
cup,cup,3,word,Food/Drink,food,food_drink,noun,,
lunch,lunch,3,word,Food/Drink,food,food_drink,noun,,
a,a,3,word,Function/Core,more,,word,,
about,about,3,word,Descriptors,more,colors_descriptors,location/preposition,,tab-anchor-mismatch(colors_descriptors→expects:describe)
after,after,3,word,Uncategorized,more,,word,,
again,again,3,word,Function/Core,more,,location/preposition,,
all,all,3,word,Uncategorized,more,,word,,
almost,almost,3,word,Uncategorized,more,,word,,
already,already,3,word,Function/Core,more,,verb/action,,
also,also,3,word,Uncategorized,more,,word,,
an,an,3,word,Function/Core,more,,word,,
and,and,3,word,Function/Core,more,,word,,
another,another,3,word,Function/Core,more,,word,,
any,any,3,word,Function/Core,more,,word,,
are,are,3,word,Function/Core,more,,verb/action,,
around,around,3,word,Descriptors,more,,location/preposition,,
as,as,3,word,Function/Core,more,,word,,
at,at,3,word,Function/Core,more,,location/preposition,,
away,away,3,word,Function/Core,more,,location/preposition,,
back,back,3,word,Descriptors,more,,location/preposition,,
be,be,3,word,Function/Core,more,,verb/action,,
because,because,3,word,Function/Core,more,,verb/action,,
before,before,3,word,Descriptors,more,,location/preposition,,
being,being,3,word,Function/Core,more,,location/preposition,,
bet,bet,3,word,Uncategorized,more,,word,,
better,better,3,word,Descriptors,more,,descriptor/adjective,,
both,both,3,word,Uncategorized,more,,word,,
but,but,3,word,Function/Core,more,,word,,
by,by,3,word,Function/Core,more,,location/preposition,,
can,can,3,word,Function/Core,more,,verb/action,,
could,could,3,word,Function/Core,more,,verb/action,,
day,day,3,word,Uncategorized,more,,noun,,
did,did,3,word,Function/Core,more,,verb/action,,
didnt,didn't,3,word,Function/Core,more,,verb/action,,
doesnt,doesn't,3,word,Actions,more,,verb/action,,
done,done,3,word,Actions,more,,verb/action,,
dont,don't,3,word,Actions,more,,verb/action,,
else,else,3,word,Uncategorized,more,,word,,
even,even,3,word,Uncategorized,more,,word,,
everything,everything,3,word,Function/Core,more,,location/preposition,,
first,first,3,word,Descriptors,more,,word,,
five,five,3,word,Descriptors,more,,word,,
for,for,3,word,Function/Core,more,,word,,
from,from,3,word,Function/Core,more,,location/preposition,,
gonna,gonna,3,word,Actions,more,,verb/action,,
had,had,3,word,Function/Core,more,,verb/action,,
has,has,3,word,Function/Core,more,,verb/action,,
have,have,3,word,Function/Core,more,,verb/action,,
here,here,3,word,Descriptors,more,,word,,
heres,here's,3,word,Descriptors,more,,word,,
how,how,3,word,Question Words,more,,question word,,
huh,huh,3,word,Uncategorized,more,,word,,
hum,hum,3,word,Actions,more,,verb/action,,
if,if,3,word,Descriptors,more,,word,,
is,is,3,word,Function/Core,more,,verb/action,,
isnt,isn't,3,word,Function/Core,more,,verb/action,,
just,just,3,word,Function/Core,more,,word,,
last,last,3,word,Function/Core,more,,location/preposition,,
long,long,3,word,Descriptors,more,,descriptor/adjective,,
lot,lot,3,word,Descriptors,more,,descriptor/adjective,,
many,many,3,word,Descriptors,more,,descriptor/adjective,,
may,may,3,word,Function/Core,more,,verb/action,,
maybe,maybe,3,word,Uncategorized,more,,word,,
messy,messy,3,word,Descriptors,more,,descriptor/adjective,,
middle,middle,3,word,Descriptors,more,,location/preposition,,
most,most,3,word,Uncategorized,more,,noun,,
much,much,3,word,Descriptors,more,,descriptor/adjective,,
must,must,3,word,Descriptors,more,,word,,
never,never,3,word,Descriptors,more,,descriptor/adjective,,
new,new,3,word,Descriptors,more,,descriptor/adjective,,
next,next,3,word,Descriptors,more,,descriptor/adjective,,
of,of,3,word,Function/Core,more,,location/preposition,,
oh,oh,3,word,Uncategorized,more,,word,,
old,old,3,word,Descriptors,more,,descriptor/adjective,,
on,on,3,word,Function/Core,more,,location/preposition,,
one,one,3,word,Uncategorized,more,,word,,
only,only,3,word,Uncategorized,more,,word,,
or,or,3,word,Function/Core,more,,word,,
over,over,3,word,Function/Core,more,,location/preposition,,
ready,ready,3,word,Actions,more,,verb/action,,
really,really,3,word,Uncategorized,more,,word,,
right,right,3,word,Descriptors,more,,descriptor/adjective,,
same,same,3,word,Descriptors,more,,descriptor/adjective,,
side,side,3,word,Descriptors,more,,noun,,
so,so,3,word,Uncategorized,more,,word,,
some,some,3,word,Descriptors,more,,word,,
something,something,3,word,Descriptors,more,,word,,
sometimes,sometimes,3,word,Descriptors,more,,word,,
still,still,3,word,Uncategorized,more,,word,,
then,then,3,word,Uncategorized,more,,word,,
there,there,3,word,Uncategorized,more,,word,,
theres,there's,3,word,Uncategorized,more,,word,,
these,these,3,word,Uncategorized,more,,word,,
this,this,3,word,Function/Core,more,,word,,
those,those,3,word,Function/Core,more,,word,,
through,through,3,word,Descriptors,more,,location/preposition,,
time,time,3,word,Function/Core,more,,word,,
to,to,3,word,Function/Core,more,,location/preposition,,
today,today,3,word,Function/Core,more,,word,,
too,too,3,word,Uncategorized,more,,word,,
two,two,3,word,Descriptors,more,,descriptor/adjective,,
um,um,3,word,Uncategorized,more,,word,,
very,very,3,word,Uncategorized,more,,word,,
was,was,3,word,Function/Core,more,,verb/action,,
wasnt,wasn't,3,word,Uncategorized,more,,word,,
way,way,3,word,Uncategorized,more,,noun,,
well,well,3,word,Descriptors,more,,descriptor/adjective,,
were,were,3,word,Function/Core,more,,verb/action,,
what,what,3,word,Question Words,more,,question word,,
whats,what's,3,word,Question Words,more,,question word,,
when,when,3,word,Question Words,more,,question word,,
where,where,3,word,Question Words,more,,question word,,
wheres,where's,3,word,Question Words,more,,question word,,
which,which,3,word,Question Words,more,,question word,,
while,while,3,word,Uncategorized,more,,word,,
who,who,3,word,Question Words,more,,question word,,
whole,whole,3,word,Descriptors,more,,descriptor/adjective,,
why,why,3,word,Question Words,more,,question word,,
with,with,3,word,Descriptors,more,,descriptor/adjective,,
would,would,3,word,Function/Core,more,,verb/action,,
ya,ya,3,word,Uncategorized,more,,word,,
yet,yet,3,word,Descriptors,more,,descriptor/adjective,,
baby,baby,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
boy,boy,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
doctor,doctor,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
everybody,everybody,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
girl,girl,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
girls,girls,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
guys,guys,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
her,her,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
hes,he's,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
him,him,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
his,his,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
ill,I'll,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
im,I'm,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
it,it,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
its,it's,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
man,man,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
mommy,mommy,3,word,People/Pronouns/Possessives,people,other_people,pronoun/person,,
myself,myself,3,word,People/Pronouns/Possessives,people,self,pronoun/person,,
name,Name,3,word,People/Pronouns/Possessives,people,other_people,noun,,
named,named,3,word,Descriptors,people,other_people,descriptor/adjective,,
our,our,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
ours,ours,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
people,people,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
shes,she's,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
somebody,somebody,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
someone,someone,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
they,they,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
theyll,they'll,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
theyre,they're,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
us,us,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
we,we,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
we_ll,we'll,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
we_re,we're,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
youll,you'll,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
youre,you're,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
yours,yours,3,word,People/Pronouns/Possessives,people,,pronoun/person,,
ant,ant,3,word,Preferred Items,things,outside,noun,,
ball,ball,3,word,Preferred Items,things,toys,noun,,
bean,bean,3,word,Preferred Items,things,toys,noun,,
bird,bird,3,word,Preferred Items,things,outside,noun,,
birds,birds,3,word,Preferred Items,things,outside,noun,,
box,box,3,word,Preferred Items,things,toys,noun,,
bugs,bugs,3,word,Preferred Items,things,outside,noun,,
chair,chair,3,word,Preferred Items,things,toys,noun,,
door,door,3,word,Preferred Items,things,outside,noun,,
duck,duck,3,word,Preferred Items,things,toys,noun,,
face,face,3,word,Body Parts,things,self,noun,,
finger,finger,3,word,Body Parts,things,self,noun,,
fire,fire,3,word,Preferred Items,things,outside,noun,,
foot,foot,3,word,Body Parts,things,self,noun,,
hair,hair,3,word,Body Parts,things,self,noun,,
hands,hands,3,word,Body Parts,things,self,noun,,
head,head,3,word,Body Parts,things,self,noun,,
hill,hill,3,word,Places,things,outside,noun,,
horse,horse,3,word,Preferred Items,things,outside,noun,,
house,house,3,word,Places,things,outside,noun,,
leaves,leaves,3,word,Preferred Items,things,outside,noun,,
paint,paint,3,word,Preferred Items,things,toys,noun,,
pet,pet,3,word,Preferred Items,things,toys,noun,,
piece,piece,3,word,Preferred Items,things,toys,noun,,
room,room,3,word,Places,things,outside,location/preposition,,
thing,thing,3,word,Preferred Items,things,toys,noun,,
things,things,3,word,Preferred Items,things,toys,noun,,
toys,toys,3,word,Preferred Items,things,toys,noun,,
trees,trees,3,word,Preferred Items,things,outside,noun,,
turtles,turtles,3,word,Preferred Items,things,outside,noun,,
