canonical_term,tier,type,current_category,part_of_speech,phrase_pos,ui_tab,bucket,proposed_category,rationale,secondary_tabs,approved
popcorn,Tier 2 - Faison expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
pretzel,Tier 2 - Faison expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
purple,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
red,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
rice,Tier 2 - Faison expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
shirt,Tier 2 - Faison expansion,word,Social,noun,,things,error,Clothing,cat='Social' (default_tab='core') doesn't match ui_tab='things'; proposed 'Clothing' via anchor/keyword heuristic,,
slow,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
that's funny,Tier 2 - Faison expansion,phrase,People/Pronouns/Possessives,phrase,descriptor/adjective,core,override,People/Pronouns/Possessives,category='People/Pronouns/Possessives' default_tab='people' but current ui_tab='core',people,
tummy,Tier 2 - Faison expansion,word,People/Pronouns/Possessives,noun,,things,error,Body Parts,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Body Parts' via anchor/keyword heuristic,,
tummy/stomach,Tier 2 - Faison expansion,word,People/Pronouns/Possessives,noun,,things,error,Body Parts,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Body Parts' via anchor/keyword heuristic,,
up,Tier 2 - Faison expansion,word,Places,location/preposition,,more,error,Descriptors,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Descriptors' via anchor/keyword heuristic,,
water/juice,Tier 2 - Faison expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
white,Tier 2 - Faison expansion,word,Social,descriptor/adjective,,more,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
yellow,Tier 2 - Faison expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
about,Tier 3 - Reference expansion,word,Places,location/preposition,,more,error,Function/Core,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
again,Tier 3 - Reference expansion,word,Places,location/preposition,,more,error,Function/Core,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
already,Tier 3 - Reference expansion,word,Actions,verb/action,,more,override,Actions,category='Actions' default_tab='actions' but current ui_tab='more',,
another,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
ant,Tier 3 - Reference expansion,word,Uncategorized,noun,,things,error,Places,cat='Uncategorized' (default_tab='more') doesn't match ui_tab='things'; proposed 'Places' via anchor/keyword heuristic,,
around,Tier 3 - Reference expansion,word,Uncategorized,location/preposition,,more,error,Descriptors,POS='location/preposition' with cat='Uncategorized'; directional/spatial word,,
away,Tier 3 - Reference expansion,word,Uncategorized,location/preposition,,more,error,Descriptors,POS='location/preposition' with cat='Uncategorized'; directional/spatial word,,
baby,Tier 3 - Reference expansion,word,Uncategorized,noun,,people,error,People/Pronouns/Possessives,cat='Uncategorized' (default_tab='more') doesn't match ui_tab='people'; proposed 'People/Pronouns/Possessives' via anchor/keyword heuristic,,
back,Tier 3 - Reference expansion,word,Uncategorized,location/preposition,,more,error,Descriptors,POS='location/preposition' with cat='Uncategorized'; directional/spatial word,,
bean,Tier 3 - Reference expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
because,Tier 3 - Reference expansion,word,Actions,verb/action,,more,override,Actions,category='Actions' default_tab='actions' but current ui_tab='more',,
being,Tier 3 - Reference expansion,word,Places,location/preposition,,more,error,Function/Core,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
better,Tier 3 - Reference expansion,word,Uncategorized,descriptor/adjective,,more,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
bird,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,noun,,things,error,Places,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Places' via anchor/keyword heuristic,,
birds,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,noun,,things,error,Places,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Places' via anchor/keyword heuristic,,
bite,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
bugs,Tier 3 - Reference expansion,word,Uncategorized,noun,,things,error,Places,cat='Uncategorized' (default_tab='more') doesn't match ui_tab='things'; proposed 'Places' via anchor/keyword heuristic,,
came,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
can,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
corn,Tier 3 - Reference expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
could,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
did,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
didn't,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
doctor,Tier 3 - Reference expansion,word,Actions,verb/action,,people,error,People/Pronouns/Possessives,POS=verb/action but known noun ('doctor'); ui_tab='people' → 'People/Pronouns/Possessives'; also fix POS,,
doesn't,Tier 3 - Reference expansion,word,Actions,verb/action,,more,override,Actions,category='Actions' default_tab='actions' but current ui_tab='more',,
don't,Tier 3 - Reference expansion,word,Actions,verb/action,,more,override,Actions,category='Actions' default_tab='actions' but current ui_tab='more',,
done,Tier 3 - Reference expansion,word,Actions,verb/action,,more,override,Actions,category='Actions' default_tab='actions' but current ui_tab='more',,
door,Tier 3 - Reference expansion,word,Actions,verb/action,,things,error,Places,POS=verb/action but known noun ('door'); ui_tab='things' → 'Places'; also fix POS,,
everything,Tier 3 - Reference expansion,word,Places,location/preposition,,more,error,Function/Core,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
fall,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
fire,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,noun,,things,error,Places,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Places' via anchor/keyword heuristic,,
first,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
five,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
fixed,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
fly,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
found,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
gonna,Tier 3 - Reference expansion,word,Actions,verb/action,,more,override,Actions,category='Actions' default_tab='actions' but current ui_tab='more',,
great,Tier 3 - Reference expansion,word,Actions,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
had,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
hair,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,noun,,things,error,Body Parts,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Body Parts' via anchor/keyword heuristic,,
has,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
have,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
head,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,noun,,things,error,Body Parts,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Body Parts' via anchor/keyword heuristic,,
hear,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
here,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
here's,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
high,Tier 3 - Reference expansion,word,Social,descriptor/adjective,,more,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
hill,Tier 3 - Reference expansion,word,Social,noun,,things,error,Places,cat='Social' (default_tab='core') doesn't match ui_tab='things'; proposed 'Places' via anchor/keyword heuristic,,
him,Tier 3 - Reference expansion,word,Social,pronoun/person,,people,error,People/Pronouns/Possessives,POS='pronoun/person' requires category='People/Pronouns/Possessives',,
his,Tier 3 - Reference expansion,word,Social,pronoun/person,,people,error,People/Pronouns/Possessives,POS='pronoun/person' requires category='People/Pronouns/Possessives',,
hot,Tier 3 - Reference expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
house,Tier 3 - Reference expansion,word,Actions,verb/action,,things,error,Places,POS=verb/action but known noun ('house'); ui_tab='things' → 'Places'; also fix POS,,
if,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
inside,Tier 3 - Reference expansion,word,Places,location/preposition,,more,error,Descriptors,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Descriptors' via anchor/keyword heuristic,,
is,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
isn't,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
just,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
kind,Tier 3 - Reference expansion,word,Places,location/preposition,,more,error,Function/Core,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
leaves,Tier 3 - Reference expansion,word,Uncategorized,noun,,things,error,Places,cat='Uncategorized' (default_tab='more') doesn't match ui_tab='things'; proposed 'Places' via anchor/keyword heuristic,,
let,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
let's,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
lift,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
long,Tier 3 - Reference expansion,word,Uncategorized,descriptor/adjective,,more,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
lunch,Tier 3 - Reference expansion,word,Food/Drink,noun,,things,override,Food/Drink,category='Food/Drink' default_tab='food' but current ui_tab='things',,
man,Tier 3 - Reference expansion,word,Uncategorized,noun,,people,error,People/Pronouns/Possessives,cat='Uncategorized' (default_tab='more') doesn't match ui_tab='people'; proposed 'People/Pronouns/Possessives' via anchor/keyword heuristic,,
may,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,more,error,Actions,POS='verb/action' requires category='Actions',,
mean,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,descriptor/adjective,,feelings,error,Feelings,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
messy,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,descriptor/adjective,,more,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
middle,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
move,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
must,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
new,Tier 3 - Reference expansion,word,Uncategorized,descriptor/adjective,,more,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
nice,Tier 3 - Reference expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
old,Tier 3 - Reference expansion,word,Uncategorized,descriptor/adjective,,more,error,Descriptors,"POS='descriptor/adjective' requires category in ['Descriptors', 'Feelings']",,
pet,Tier 3 - Reference expansion,word,Uncategorized,noun,,things,error,Preferred Items,cat='Uncategorized' (default_tab='more') doesn't match ui_tab='things'; proposed 'Preferred Items' via anchor/keyword heuristic,,
pick,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
piece,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,noun,,things,error,Preferred Items,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='things'; proposed 'Preferred Items' via anchor/keyword heuristic,,
ready,Tier 3 - Reference expansion,word,Actions,verb/action,,more,override,Actions,category='Actions' default_tab='actions' but current ui_tab='more',,
remember,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
right,Tier 3 - Reference expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
said,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
same,Tier 3 - Reference expansion,word,Descriptors,descriptor/adjective,,more,override,Descriptors,category='Descriptors' default_tab='describe' but current ui_tab='more',,
saw,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
side,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,noun,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
some,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
something,Tier 3 - Reference expansion,word,Places,location/preposition,,more,error,Function/Core,cat='Places' (default_tab='things') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
sometimes,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
still,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
then,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
there,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
there's,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
these,Tier 3 - Reference expansion,word,People/Pronouns/Possessives,word,,more,error,Function/Core,cat='People/Pronouns/Possessives' (default_tab='people') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
this,Tier 3 - Reference expansion,word,Social,word,,more,error,Function/Core,cat='Social' (default_tab='core') doesn't match ui_tab='more'; proposed 'Function/Core' via anchor/keyword heuristic,,
threw,Tier 3 - Reference expansion,word,Uncategorized,verb/action,,actions,error,Actions,POS='verb/action' requires category='Actions',,
